"model","log_marginal","post_prob","rep","n","tau_label","tau_sd","seed","true_model","chosen_model","correct"
"int124_3",-55.3103326604959,9.52683819745106e-24,6,50,"big",0.7071068,150306,"int12_3","null",0
"int234_1",-59.8116043344917,1.0569911224131e-25,6,50,"big",0.7071068,150306,"int12_3","null",0
"int134_2",-60.3415085302677,6.22209835033307e-26,6,50,"big",0.7071068,150306,"int12_3","null",0
"full",-108.97782930892,4.69300630096033e-47,6,50,"big",0.7071068,150306,"int12_3","null",0
"int12_3",-4.80494136276353,0.769489584807348,7,50,"big",0.7071068,150307,"int12_3","int12_3",1
"int12_4",-6.15158172535228,0.200153997064795,7,50,"big",0.7071068,150307,"int12_3","int12_3",1
"null",-8.55925266847672,0.0180188082016723,7,50,"big",0.7071068,150307,"int12_3","int12_3",1
"x2",-8.95765716682828,0.0120976547815352,7,50,"big",0.7071068,150307,"int12_3","int12_3",1
"int12",-13.3319789766175,0.000152390313771412,7,50,"big",0.7071068,150307,"int12_3","int12_3",1
"x3",-14.0898443271768,7.14201278831036e-05,7,50,"big",0.7071068,150307,"int12_3","int12_3",1
"x1",-16.0153761212275,1.04129262048357e-05,7,50,"big",0.7071068,150307,"int12_3","int12_3",1
"x4",-16.6697349757281,5.4123808768575e-06,7,50,"big",0.7071068,150307,"int12_3","int12_3",1
"int24_1",-19.784641993712,2.40215718131941e-07,7,50,"big",0.7071068,150307,"int12_3","int12_3",1
"int13_2",-21.1649562121302,6.04141365726612e-08,7,50,"big",0.7071068,150307,"int12_3","int12_3",1
"int14_2",-23.0104703833373,9.54205580627079e-09,7,50,"big",0.7071068,150307,"int12_3","int12_3",1
"int23_1",-23.7100107198525,4.74062327201743e-09,7,50,"big",0.7071068,150307,"int12_3","int12_3",1
"main",-24.0299152645317,3.44272763509121e-09,7,50,"big",0.7071068,150307,"int12_3","int12_3",1
"int24",-25.9595824257909,4.99872063206106e-10,7,50,"big",0.7071068,150307,"int12_3","int12_3",1
"int24_3",-26.9060414824247,1.94006785539493e-10,7,50,"big",0.7071068,150307,"int12_3","int12_3",1
"int14",-27.009328345603,1.74968555038023e-10,7,50,"big",0.7071068,150307,"int12_3","int12_3",1
"int34_2",-27.2670812801159,1.35213273797906e-10,7,50,"big",0.7071068,150307,"int12_3","int12_3",1
"int13",-29.4110139608171,1.58460563250865e-11,7,50,"big",0.7071068,150307,"int12_3","int12_3",1
"int23_4",-29.7571279131164,1.12100052427349e-11,7,50,"big",0.7071068,150307,"int12_3","int12_3",1
"int34",-30.2543680283669,6.81800283493476e-12,7,50,"big",0.7071068,150307,"int12_3","int12_3",1
"int23",-31.7987411452601,1.45527294285826e-12,7,50,"big",0.7071068,150307,"int12_3","int12_3",1
"int13_4",-32.5449693068213,6.90020005083002e-13,7,50,"big",0.7071068,150307,"int12_3","int12_3",1
"int14_3",-32.8286436782654,5.1959321084909e-13,7,50,"big",0.7071068,150307,"int12_3","int12_3",1
"int34_1",-35.5873986893281,3.29269413122272e-14,7,50,"big",0.7071068,150307,"int12_3","int12_3",1
"int123_4",-36.2745329810122,1.65627618901016e-14,7,50,"big",0.7071068,150307,"int12_3","int12_3",1
"int124_3",-38.1081235709689,2.64736902454176e-15,7,50,"big",0.7071068,150307,"int12_3","int12_3",1
"int234_1",-47.0683988118409,3.39951052152687e-19,7,50,"big",0.7071068,150307,"int12_3","int12_3",1
"int134_2",-48.7740152996048,6.17556306042577e-20,7,50,"big",0.7071068,150307,"int12_3","int12_3",1
"full",-91.0305824848865,2.74715148400194e-38,7,50,"big",0.7071068,150307,"int12_3","int12_3",1
"null",3.92670580755124,0.835652281444558,8,50,"big",0.7071068,150308,"int12_3","null",0
"x1",1.52894131521019,0.0759783250526087,8,50,"big",0.7071068,150308,"int12_3","null",0
"x2",1.38064468535157,0.0655066374797106,8,50,"big",0.7071068,150308,"int12_3","null",0
"x4",-0.653335344873931,0.00856917483648497,8,50,"big",0.7071068,150308,"int12_3","null",0
"main",-0.864134016503591,0.00694049273459829,8,50,"big",0.7071068,150308,"int12_3","null",0
"int24_1",-1.84980491504964,0.0025901139546398,8,50,"big",0.7071068,150308,"int12_3","null",0
"int14_2",-2.16128347102923,0.00189690444243851,8,50,"big",0.7071068,150308,"int12_3","null",0
"x3",-2.37081930885401,0.00153831471897102,8,50,"big",0.7071068,150308,"int12_3","null",0
"int12_4",-2.73373062800594,0.00107012574441899,8,50,"big",0.7071068,150308,"int12_3","null",0
"int12_3",-4.83008080051479,0.000131522937516631,8,50,"big",0.7071068,150308,"int12_3","null",0
"int13_2",-5.90962250129375,4.46850755435715e-05,8,50,"big",0.7071068,150308,"int12_3","null",0
"int23_1",-6.19694596729714,3.3525827080028e-05,8,50,"big",0.7071068,150308,"int12_3","null",0
"int34",-6.33666535113248,2.91541338440318e-05,8,50,"big",0.7071068,150308,"int12_3","null",0
"int13",-7.96789934396014,5.70511261456871e-06,8,50,"big",0.7071068,150308,"int12_3","null",0
"int24",-8.00877542623032,5.47661188436091e-06,8,50,"big",0.7071068,150308,"int12_3","null",0
"int14",-8.66437797410805,2.84306897181435e-06,8,50,"big",0.7071068,150308,"int12_3","null",0
"int12",-8.80654875061387,2.46628585395503e-06,8,50,"big",0.7071068,150308,"int12_3","null",0
"int23",-8.90456314837597,2.23602317187068e-06,8,50,"big",0.7071068,150308,"int12_3","null",0
"int34_1",-14.9316918476105,5.39420645045407e-09,8,50,"big",0.7071068,150308,"int12_3","null",0
"int34_2",-15.3703915673883,3.47858561361064e-09,8,50,"big",0.7071068,150308,"int12_3","null",0
"int13_4",-15.671509290708,2.57412084134112e-09,8,50,"big",0.7071068,150308,"int12_3","null",0
"int24_3",-16.0861850329436,1.70034694025701e-09,8,50,"big",0.7071068,150308,"int12_3","null",0
"int14_3",-16.4760942131074,1.1513361443449e-09,8,50,"big",0.7071068,150308,"int12_3","null",0
"int23_4",-18.1472956543054,2.1647541195899e-10,8,50,"big",0.7071068,150308,"int12_3","null",0
"int134_2",-28.4968897849896,6.92846382712986e-15,8,50,"big",0.7071068,150308,"int12_3","null",0
"int234_1",-28.5371731167207,6.65490906060787e-15,8,50,"big",0.7071068,150308,"int12_3","null",0
"int124_3",-28.8496010505987,4.86918636869434e-15,8,50,"big",0.7071068,150308,"int12_3","null",0
"int123_4",-32.8273955369438,9.11847479487551e-17,8,50,"big",0.7071068,150308,"int12_3","null",0
"full",-78.7647566162401,1.02230332197556e-36,8,50,"big",0.7071068,150308,"int12_3","null",0
"x1",-7.71697290644209,0.757887253108367,9,50,"big",0.7071068,150309,"int12_3","x1",0
"null",-8.95146187348575,0.220532629809517,9,50,"big",0.7071068,150309,"int12_3","x1",0
